epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1144.19,1.45399,0.77558,0.89733,0.94291,0.92804,0.96316,0.56338,1.30607,0.63271,0.88828,0.000643101,0.000643101,0.000643101
43,1164.88,1.45355,0.77473,0.89953,0.94217,0.93593,0.96931,0.57518,1.29363,0.63593,0.8928,0.000628101,0.000628101,0.000628101
44,1185.45,1.43781,0.76657,0.8987,0.94643,0.93149,0.96347,0.55435,1.32258,0.64031,0.89318,0.000612981,0.000612981,0.000612981
45,1206.38,1.41388,0.75065,0.89291,0.9488,0.93248,0.96396,0.56013,1.31679,0.6323,0.89224,0.000597754,0.000597754,0.000597754
46,1226.94,1.42765,0.75058,0.90016,0.94413,0.93001,0.96639,0.5698,1.30384,0.62548,0.89226,0.000582435,0.000582435,0.000582435
47,1247.18,1.41323,0.75714,0.89426,0.94398,0.93018,0.96679,0.56468,1.30495,0.6257,0.89322,0.00056704,0.00056704,0.00056704
48,1267.38,1.42657,0.75552,0.89882,0.94637,0.92854,0.96324,0.56645,1.30067,0.62717,0.89349,0.000551584,0.000551584,0.000551584
49,1287.57,1.41323,0.753,0.89326,0.95081,0.92952,0.96186,0.5712,1.28939,0.62033,0.89105,0.000536081,0.000536081,0.000536081
50,1307.64,1.40987,0.74813,0.89404,0.95502,0.93051,0.96678,0.56864,1.29976,0.6156,0.88947,0.000520548,0.000520548,0.000520548
51,1327.88,1.38735,0.73735,0.89133,0.94685,0.93945,0.96555,0.56479,1.30044,0.61665,0.89451,0.000505,0.000505,0.000505
52,1348.15,1.39971,0.73649,0.89135,0.94607,0.93691,0.9702,0.57152,1.27817,0.60771,0.89011,0.000489452,0.000489452,0.000489452
53,1369.21,1.3908,0.73744,0.89194,0.95453,0.93116,0.96783,0.57314,1.28176,0.61318,0.88935,0.000473919,0.000473919,0.000473919
54,1389.74,1.38529,0.72993,0.88843,0.93715,0.93593,0.96593,0.56652,1.29939,0.60884,0.89302,0.000458416,0.000458416,0.000458416
55,1409.97,1.3877,0.7306,0.88999,0.94642,0.92607,0.96245,0.56403,1.2945,0.61646,0.89368,0.00044296,0.00044296,0.00044296
56,1430.35,1.36534,0.71309,0.88816,0.9475,0.931,0.96425,0.57269,1.28147,0.60707,0.89038,0.000427565,0.000427565,0.000427565
57,1450.75,1.36723,0.71354,0.88035,0.94887,0.92854,0.96646,0.57016,1.27556,0.60269,0.8859,0.000412246,0.000412246,0.000412246
58,1471.24,1.35007,0.71257,0.8808,0.94146,0.93297,0.96344,0.56822,1.29088,0.61387,0.89016,0.000397019,0.000397019,0.000397019
59,1491.53,1.34895,0.70856,0.88815,0.93573,0.93346,0.96228,0.5664,1.30228,0.60729,0.89247,0.000381899,0.000381899,0.000381899
60,1511.99,1.35285,0.70968,0.88648,0.94809,0.93617,0.96623,0.57079,1.28818,0.60839,0.88949,0.000366899,0.000366899,0.000366899
61,1532.32,1.37354,0.72347,0.89032,0.942,0.93494,0.9653,0.56474,1.2975,0.60817,0.88885,0.000352037,0.000352037,0.000352037
62,1552.34,1.33587,0.7058,0.88272,0.94371,0.93374,0.96568,0.56786,1.29331,0.6046,0.89035,0.000337325,0.000337325,0.000337325
63,1572.68,1.3451,0.70209,0.8831,0.94486,0.93593,0.96455,0.56954,1.29468,0.60203,0.8922,0.000322778,0.000322778,0.000322778
64,1592.97,1.31801,0.68892,0.88091,0.94471,0.93445,0.9659,0.56913,1.28067,0.59451,0.89008,0.000308412,0.000308412,0.000308412
65,1613.57,1.33143,0.69967,0.87523,0.94611,0.93445,0.96753,0.57112,1.28109,0.5902,0.88959,0.000294239,0.000294239,0.000294239
66,1634.13,1.32201,0.6879,0.8815,0.93891,0.93691,0.96493,0.56812,1.28191,0.58856,0.88975,0.000280275,0.000280275,0.000280275
67,1654.22,1.31978,0.68044,0.87442,0.94782,0.9311,0.96701,0.57353,1.26932,0.59402,0.8882,0.000266532,0.000266532,0.000266532
68,1674.42,1.32218,0.68489,0.88247,0.94392,0.93743,0.9678,0.57332,1.27275,0.58769,0.88785,0.000253024,0.000253024,0.000253024
69,1694.51,1.31052,0.68351,0.87725,0.94231,0.93691,0.96686,0.57238,1.27646,0.58893,0.8877,0.000239766,0.000239766,0.000239766
70,1714.84,1.30213,0.68126,0.87505,0.94459,0.93593,0.96609,0.56963,1.27663,0.59071,0.88824,0.000226769,0.000226769,0.000226769
71,1735.46,1.3231,0.6753,0.87962,0.94151,0.93642,0.96554,0.5661,1.28117,0.5919,0.88841,0.000214046,0.000214046,0.000214046
72,1756.1,1.30089,0.66701,0.87784,0.94217,0.93396,0.96281,0.56579,1.28394,0.59323,0.88772,0.000201611,0.000201611,0.000201611
73,1776.25,1.29313,0.66238,0.87217,0.94176,0.94047,0.96669,0.56871,1.28176,0.58996,0.88762,0.000189475,0.000189475,0.000189475
